flow_id,throughput_mbps,delay_ms,jitter_ms
1,0.0,0.0,0.0
2,10.1376,5.368972,0.189043
3,7.707307,130.325039,0.229343
4,0.0,0.0,0.0
5,10.1376,6.644562,0.192715
6,6.785707,113.207051,0.228
7,0.0,0.0,0.0
8,10.069333,6.279997,0.193402
9,8.209067,97.642885,0.22014
10,0.0,0.0,0.0
11,10.154667,6.288953,0.191938
12,7.432533,120.502287,0.230835
13,0.0,0.0,0.0
14,10.1888,2.89855,0.179715
15,8.209067,87.890954,0.216804
16,0.443733,355.067025,19.40934
17,37.512533,191.470498,0.184759
18,13.755733,289.504765,0.821092
19,5.2736,331.477758,1.768747
20,37.512533,191.366792,0.185046
21,5.2736,357.755661,1.923393
22,1.757867,330.937303,5.48835
23,37.5296,191.389516,0.18513
24,6.775467,304.268295,1.382188
25,2.269867,334.736409,3.946079
26,37.512533,191.328081,0.184925
27,11.963733,307.548622,0.865702
28,10.666667,288.382991,0.58096
29,37.5296,191.347298,0.184834
30,14.8992,274.666517,0.675143
