user,gnb,beam,bps
0,0,7,0.0
1,1,4,19232149.074574366
2,6,2,79820.24548471026
3,4,7,92162855.68897773
4,6,6,0.0
5,1,6,8809514.384613562
6,0,6,0.0
7,6,1,9685831.252619427
8,2,7,188583.25129157206
9,2,3,2435636.3028215244
10,0,5,0.0
11,4,4,0.0
12,0,7,0.0
13,2,4,103845944.74318777
14,3,2,0.0
15,4,4,0.0
16,2,0,754.1661699901232
17,0,1,0.0
18,0,4,101309776.20182331
19,5,2,36481895.59297252
20,5,6,0.0
21,0,2,12722011.207232645
22,0,7,1155356.4548919846
23,4,5,0.0
24,4,4,0.0
25,3,1,0.0
26,6,7,0.0
27,6,6,0.0
28,1,1,0.0
29,0,5,0.0
30,0,1,2983232.0459633283
31,3,3,0.0
32,3,4,5519.107386073866
33,0,2,6004.358513738309
34,4,4,0.0
35,4,0,4374419.267941028
36,3,4,0.0
37,4,7,87911374.23172686
38,3,2,0.0
39,3,4,2720890.671106826
40,0,1,0.0
41,0,2,0.0
42,1,4,8281432.443313062
43,5,7,2386478.6927858214
44,5,6,0.0
45,4,7,85385799.13500659
46,3,1,0.0
47,2,1,0.0
48,6,6,0.0
49,2,2,0.0
50,1,0,0.0
51,0,2,43962834.541388705
52,0,4,0.0
53,2,5,81987177.80909164
54,0,0,0.0
55,3,5,0.0
56,0,5,2612.107011587906
57,5,6,0.0
58,1,2,0.0
59,0,3,87594461.54994573
60,0,5,34447489.21741985
61,3,3,0.0
62,3,5,30124139.06688127
63,6,4,76906462.67029497
64,5,5,0.0
65,5,5,0.0
66,1,0,0.0
67,6,1,0.0
68,5,6,0.0
69,1,5,49740174.056204274
70,3,0,65723845.25237962
71,0,5,0.0
72,0,3,91449701.41617043
73,3,3,0.0
74,5,3,0.0
75,1,3,15220719.741742168
76,4,1,0.0
77,4,4,0.0
78,0,6,875297.9869977458
79,5,1,54263057.12030921
80,5,7,0.0
81,6,6,0.0
82,3,6,34884645.78906829
83,1,5,16280379.86220163
84,6,2,145212068.7794137
85,0,6,0.0
86,0,4,0.0
87,4,5,0.0
88,6,5,0.0
89,1,3,76471.00806179363
90,5,2,55233743.17202576
91,0,0,74715677.21453965
92,1,2,4745.296708493789
93,0,0,0.0
94,5,7,154.9598809917513
95,0,1,0.0
96,2,2,0.0
97,5,2,0.0
98,0,7,0.0
99,3,3,0.0
100,0,1,3745302.4680607603
101,1,3,47.29961522590115
102,6,3,88549518.9920972
103,2,6,235405.166506131
104,5,0,1157980.1993853045
105,1,0,0.0
106,5,7,0.0
107,6,3,101374708.55047601
108,0,2,0.0
109,0,2,31.439486882709218
110,0,5,119506394.35623342
111,1,2,0.0
112,4,3,85531.60561726427
113,5,0,11316508.571994834
114,4,2,1.1071041997184341e-07
115,0,2,0.0
116,5,5,0.0
117,0,5,0.0
118,5,4,0.0
119,6,0,0.0
120,0,2,0.0
121,3,3,0.0
122,3,3,0.0
123,5,6,0.0
124,5,0,60605797.83201615
125,0,1,0.0
126,1,6,4021999.6555828135
127,0,5,0.0
128,0,4,0.0
129,2,6,52324256.94281217
130,4,0,21169345.934248798
131,3,3,0.0
132,1,0,0.0
133,1,6,0.2647772722211431
134,6,2,0.0
135,3,0,0.0
136,0,6,0.0
137,0,7,6834405.764290511
138,4,0,54910578.789716
139,0,4,41745356.452902645
140,4,5,0.0
141,0,1,0.0
142,0,0,0.0
143,6,0,3964687.415394809
144,1,2,0.0
145,0,2,0.0
146,3,3,0.0
147,0,0,0.0
148,2,6,91442759.64843182
149,0,4,135189679.3785555
150,2,2,0.0
151,1,5,50121755.60072986
152,6,5,25465338.45899508
153,6,3,130778504.21132694
154,4,2,0.0
155,3,4,0.1532404087511468
156,3,7,177758124.37047514
157,1,0,0.0
158,0,6,56214706.90173527
159,2,2,0.0
160,2,1,0.0
161,6,2,11537571.251568863
162,4,2,6884.362939133015
163,3,4,0.0
164,3,0,0.0
165,0,3,0.0
166,0,7,0.0
167,0,1,0.0
168,4,5,0.0
169,2,6,16798050.78800112
170,3,1,0.0
171,4,4,0.0
172,6,7,0.0
173,6,6,0.07601039761533236
174,0,5,0.0
175,0,0,8.18633578022267
176,0,5,30614799.679467145
177,0,4,0.0
178,4,5,9.922773343672809
179,0,0,8811780.630162578
180,4,3,0.0
181,2,4,0.0
182,1,5,0.0
183,3,4,0.0
184,6,0,0.0
185,0,6,0.0
186,0,3,0.0
187,4,6,58812441.32701754
188,6,2,357248.9482701596
189,5,5,0.0
190,3,1,0.0
191,3,1,0.0
192,1,6,49779278.691072784
193,0,4,0.0
194,3,5,0.0
195,3,6,33574816.6569517
196,5,3,60768308.11562048
197,5,4,4935.2003771779955
198,6,7,0.0
199,0,7,0.5996868527712138
