user,gnb,beam,bps
0,5,2,404502.13941828144
1,5,0,9720.314513732139
2,5,5,0.0
3,4,7,92162855.68897773
4,4,4,0.0
5,6,2,2056885.5298264713
6,3,1,0.0
7,3,1,0.0
8,3,2,0.0
9,2,3,2435636.3028215244
10,6,1,9.903126188261023
11,5,6,0.0
12,6,5,72.00194174682345
13,1,1,1.1071041997184208e-06
14,2,0,0.0
15,3,6,2530996.494258195
16,2,3,0.0
17,1,2,0.004497509326561088
18,0,4,101309776.20182331
19,1,3,6545.828006629518
20,3,5,454321.2206707544
21,1,2,18.908609601938252
22,6,1,499641.4201394662
23,1,3,99266.38965575799
24,2,4,212488.2581408008
25,2,2,0.0
26,4,6,17.10378490902884
27,1,7,41.12668698297735
28,1,2,0.0
29,0,5,0.0
30,6,1,111.06779515780144
31,2,4,409634.75622320257
32,2,2,0.0
33,0,2,6004.358513738309
34,1,6,0.0
35,4,1,0.0
36,4,6,0.0
37,0,7,0.0
38,0,0,0.0
39,2,6,0.15632303889922766
40,1,4,127027.96577268897
41,0,5,150571111.86012828
42,3,6,827443.8183105979
43,4,6,9157.250932168441
44,6,7,0.0
45,4,0,1248618.73164311
46,1,3,1066.549813750102
47,6,3,241190.71336562184
48,3,1,0.0
49,2,3,0.0
50,2,7,278749.8256545949
51,1,7,0.0
52,1,6,1.23571012882694
53,1,2,40182.47020957036
54,4,4,0.0
55,4,7,0.0
56,2,4,0.48347732781782365
57,0,2,0.0
58,2,0,0.0
59,3,4,0.0
60,3,0,0.002999772635975461
61,5,7,0.0
62,3,6,1101198.8183785595
63,1,7,0.00010181668290064738
64,3,3,0.0
65,6,5,200.54093840744477
66,2,6,1924656.4715909609
67,6,6,22169.956135456836
68,1,6,1160.4814415344126
69,1,5,49740174.056204274
70,1,7,0.0
71,4,2,19678.207391018837
72,0,3,91449701.41617043
73,2,2,0.0
74,1,2,0.0
75,2,5,15846.848092013444
76,0,0,0.0
77,3,2,0.0
78,6,0,0.0
79,3,7,12621.32485868016
80,5,2,5467766.603262346
81,4,3,0.0
82,5,0,0.0
83,3,4,0.0
84,2,4,0.0
85,5,4,0.0
86,1,4,4532792.497935927
87,1,6,0.0
88,0,5,0.04766545793057172
89,4,0,318036.5074113817
90,3,1,0.0
91,6,6,0.0
92,6,1,2310.340732141566
93,5,0,355.28871150657875
94,1,6,3014.9831629036253
95,1,2,0.0
96,6,6,0.0
97,2,1,0.0
98,6,4,2.3195176545678806
99,0,1,415.62343001424057
100,1,6,0.000735495449208102
101,6,2,4694611.562614943
102,5,6,0.0
103,2,4,312689.63433933776
104,0,6,436728.2516439617
105,6,3,8348.370656820622
106,5,1,22981.40910265724
107,1,3,0.0
108,4,3,0.0
109,6,4,356.1178666112119
110,0,5,119506394.35623342
111,2,6,157163.80767928908
112,4,5,0.0
113,2,2,0.0
114,0,3,235722.33547945102
115,1,4,22556.173407166985
116,1,5,257361.74115967736
117,4,5,0.0
118,2,0,0.0
119,2,3,0.0
120,0,3,0.0
121,3,7,2000826.4958786825
122,3,5,44812812.968184575
123,3,0,352.7200183541589
124,5,3,0.0
125,3,1,0.0
126,5,7,471.43959975249464
127,1,7,0.0
128,1,1,0.0
129,0,4,0.0
130,6,0,0.0
131,1,7,0.0
132,2,7,119427.57562783959
133,1,2,0.0
134,6,4,56577182.14103659
135,2,1,0.0
136,3,2,0.0
137,3,0,2167.6079289543986
138,5,6,0.0
139,4,2,0.0
140,3,4,15732.677572967334
141,3,6,201422.7356913464
142,4,5,0.0
143,3,0,9754.750171736192
144,2,3,0.0
145,3,4,0.0
146,2,2,0.0
147,0,4,24149464.897759583
148,0,6,0.0
149,2,7,0.16528126475526325
150,4,1,196771.21354177984
151,3,5,3.7327863267156486e-05
152,4,2,0.0
153,2,6,37573.50703349374
154,1,6,0.0
155,5,3,98339.2668061538
156,3,7,177758124.37047514
157,1,2,0.0
158,1,0,0.0
159,2,7,95280961.60284208
160,3,0,1968954.8567816338
161,1,5,9139582.40203079
162,4,5,0.0
163,6,6,0.0
164,2,4,204720.99912632976
165,4,6,9.225868330986953e-08
166,1,5,17.890702821179246
167,4,3,0.0
168,4,4,0.0
169,5,4,0.0
170,5,4,5.535520998592174e-08
171,4,6,0.0
172,0,7,95378.07088204032
173,5,0,10662685.626515334
174,5,2,209957.41881467772
175,5,6,0.0
176,5,2,71527.46853714752
177,5,1,155117.39993812644
178,3,1,0.0
179,1,0,0.0
180,3,6,1888580.4740746883
181,5,0,660099.1083097048
182,2,7,858853.6649424012
183,4,7,0.0
184,1,5,2863165.7244611806
185,0,5,0.0
186,5,3,0.0
187,4,6,58812441.32701754
188,6,1,0.0
189,2,5,76757.68659464986
190,2,5,13080672.955420861
191,0,2,531724.0433279197
192,1,4,0.13170585748608363
193,5,0,1376552.3003219485
194,3,7,97036648.90967788
195,1,2,35.40912533702577
196,5,5,0.0
197,6,2,1550.0952268890746
198,6,1,8749.261530704429
199,1,5,131582.080425144
