user,gnb,beam,bps
0,0,9,18544929.445055716
1,0,3,9545111.04057968
2,0,0,16555164.635650387
3,0,10,9255370.548911525
4,0,4,17157276.144657925
5,0,7,11165198.6124735
6,0,15,10133756.079612985
7,0,9,14164197.768390602
8,0,6,17518019.43556804
9,0,15,9374841.151491586
10,0,13,13302400.021974383
11,0,8,18092417.15035976
12,0,5,6372449.709795345
13,0,6,15689650.4145782
14,0,14,16106527.209137222
15,0,12,7595673.37965945
16,0,10,29495289.98605986
17,0,10,9821351.32863824
18,0,2,9186108.611851402
19,0,9,14648455.807978377
20,0,4,28240975.907301407
21,0,9,16288309.03092636
22,0,13,18531106.58396168
23,0,3,26693625.04915578
24,0,4,12699522.180382814
25,0,13,28500804.313964073
26,0,5,15366021.79237987
27,0,2,6857205.771001956
28,0,7,21284360.86742442
29,0,5,12004176.605091123
30,0,3,10884212.442391925
31,0,8,6669718.156734592
32,0,6,18693537.940389026
33,0,0,8630775.629188128
34,0,8,11552729.672918009
35,0,7,25151981.9831415
36,0,5,9403469.625371771
37,0,15,31367332.357044026
38,0,14,14982636.13367427
39,0,14,16485691.61183201
40,0,3,15928896.691090195
41,0,3,22057953.08758374
42,0,7,19721452.58351189
43,0,1,7340240.0028716205
44,0,2,9760677.366370732
45,0,7,15518163.754711144
46,0,7,26824534.37889368
47,0,2,13213801.751119582
48,0,0,22957606.1220622
49,0,7,8386246.893421921
50,0,9,9881542.829949116
51,0,11,8814207.859895159
52,0,13,18988573.495408077
53,0,2,12961248.778420795
54,0,9,8321838.850626485
55,0,10,11269693.51694387
56,0,15,6699880.96740966
57,0,11,28064978.98668518
58,0,11,11069459.377405744
59,0,11,25633045.777885307
60,0,10,22218456.005499616
61,0,4,9080457.497196967
62,0,6,14001852.852305556
63,0,4,28930781.182459783
64,0,13,6818879.993273119
65,0,0,28147520.223007996
66,0,10,27196051.327849124
67,0,7,14492270.19248856
68,0,12,48552278.65179556
69,0,13,8623951.49366062
