user,gnb,beam,bps
0,0,15,64539.240262634936
1,1,6,64499.635648395306
2,6,8,87098.54453865181
3,4,2,102176.14559970408
4,6,5,74127.78323565493
5,1,0,68972.18944177277
6,0,1,144709.71384494135
7,6,0,99814.45745845378
8,2,14,71387.80684695531
9,2,3,87807.57268335504
10,0,5,88311.76907703772
11,4,11,66060.58979519764
12,0,1,78900.36908577643
13,2,8,72159.79615155149
14,3,10,342656.8220097132
15,5,12,38697.292072842516
16,2,6,118600.92762993465
17,0,8,96975.6905723686
18,0,2,109337.03709457093
19,4,4,48465.81513817175
20,5,15,86051.05491573621
21,3,0,285420.63935052475
22,0,7,102791.35802456293
23,4,14,134427.00614972643
24,4,9,47405.06426153761
25,3,5,189568.4824503843
26,6,15,442190.6750994432
27,6,4,124798.4214001009
28,0,14,46842.606201117145
29,0,12,125941.34825635598
30,0,6,85733.48953340345
31,3,15,151672.67853382957
32,4,9,141279.39858199342
33,0,12,60460.607752831966
34,4,3,119129.86900108295
35,4,4,87952.7111753093
36,3,10,74900.64173711838
37,5,7,233003.55701348186
38,3,10,64652.4038838426
39,3,12,150954.12523016246
40,4,15,35692.6562388615
41,0,5,128810.23157908158
42,6,6,52256.35226285661
43,0,0,119248.11740768238
44,5,1,188672.8414108314
45,5,1,48577.006043378366
46,3,1,154566.43864981038
47,2,6,152853.17999682442
48,6,11,49959.510960415675
49,1,3,83941.15058202251
50,1,0,50295.39594674865
51,0,2,53708.48667840853
52,0,5,75299.40423436975
53,2,8,146587.09042117035
54,4,12,52227.09362078144
55,3,3,102765.00171429182
56,6,10,55905.68610414126
57,5,7,60326.781096038845
58,0,11,66014.18502441117
59,0,2,71114.95766467575
60,4,6,35446.140713065855
61,3,4,61706.09969772237
62,4,4,50969.92595304126
63,6,4,130807.68332603388
64,3,8,36538.95909110301
65,4,2,72609.19819406107
66,1,7,104277.12742434985
67,6,6,59217.080075776685
68,5,2,142634.93668285292
69,1,5,104841.7361882927
70,2,9,90482.02889960363
71,3,2,56274.2908495157
72,0,14,52040.133623665235
73,2,1,61296.51296111448
74,5,3,112779.06288709029
75,0,11,32603.220592100846
76,4,10,53273.29646922405
77,0,5,87909.7308738141
78,0,14,164127.1906157016
79,5,4,76846.27241947612
